brand,logo_url,brand_id,category
A BATHING APE,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8375byte_cedf2c6ad46d2ac60f0c2f86cbccffcd_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8375byte_cedf2c6ad46d2ac60f0c2f86cbccffcd,bags
acme de la vie,"https://cdn-img.thepoizon.ru/source-img/brand-img//98504b7f8c614077aecd7f483b588bab-10310.png?x-oss-process=image/format,webp/resize,w_63,h_63",98504b7f8c614077aecd7f483b588bab-10310,bags
Acne Studios,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/aa04826f3878441a926c2948d6615970.png?x-oss-process=image/format,webp/resize,w_63,h_63",aa04826f3878441a926c2948d6615970,bags
ADER ERROR,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/52298d59ba074151b068962b467773c7.png?x-oss-process=image/format,webp/resize,w_63,h_63",52298d59ba074151b068962b467773c7,bags
Adidas,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96,bags
Adidas Neo,"https://cdn-img.thepoizon.ru/source-img/brand-img//718b84ac5c7b4d7dac9ef34efe06ce9a-10139.png?x-oss-process=image/format,webp/resize,w_63,h_63",718b84ac5c7b4d7dac9ef34efe06ce9a-10139,bags
adidas originals,"https://cdn-img.thepoizon.ru/node-common/f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174.png?x-oss-process=image/format,webp/resize,w_63,h_63",f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174,bags
Air Jordan,"https://cdn-img.thepoizon.ru/node-common/91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140,bags
Alexander McQueen,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230113/11a0ea65be0d4838aef4fae7862456e5.png?x-oss-process=image/format,webp/resize,w_63,h_63",11a0ea65be0d4838aef4fae7862456e5,bags
alexander wang,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230104/5256cfd2ff8746e3911828365596aac5.png?x-oss-process=image/format,webp/resize,w_63,h_63",5256cfd2ff8746e3911828365596aac5,bags
Alloy,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/e199a698a9b84304a298d3f8fc4c7385.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",e199a698a9b84304a298d3f8fc4c7385,bags
Alo Yoga,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/99dc5439a34b4ef29e8e40a87261f7ca.?x-oss-process=image/format,webp/resize,w_63,h_63",99dc5439a34b4ef29e8e40a87261f7ca,bags
AMERICAN TOURISTER,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/3853adf33a6a49ae831a9886d6fcd744.png?x-oss-process=image/format,webp/resize,w_63,h_63",3853adf33a6a49ae831a9886d6fcd744,bags
And Wander,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/b84c917d89ce413384de9dd0308968a8.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",b84c917d89ce413384de9dd0308968a8,bags
