brand,logo_url,brand_id,category
A BATHING APE,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8375byte_cedf2c6ad46d2ac60f0c2f86cbccffcd_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8375byte_cedf2c6ad46d2ac60f0c2f86cbccffcd,sneakers
Acne Studios,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/aa04826f3878441a926c2948d6615970.png?x-oss-process=image/format,webp/resize,w_63,h_63",aa04826f3878441a926c2948d6615970,sneakers
Adidas,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96,sneakers
Adidas Neo,"https://cdn-img.thepoizon.ru/source-img/brand-img//718b84ac5c7b4d7dac9ef34efe06ce9a-10139.png?x-oss-process=image/format,webp/resize,w_63,h_63",718b84ac5c7b4d7dac9ef34efe06ce9a-10139,sneakers
adidas originals,"https://cdn-img.thepoizon.ru/node-common/f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174.png?x-oss-process=image/format,webp/resize,w_63,h_63",f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174,sneakers
Air Jordan,"https://cdn-img.thepoizon.ru/node-common/91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140,sneakers
Alexander McQueen,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230113/11a0ea65be0d4838aef4fae7862456e5.png?x-oss-process=image/format,webp/resize,w_63,h_63",11a0ea65be0d4838aef4fae7862456e5,sneakers
ANTA,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte925102byte_5d9ca8cebc2286d70ef66f4f4a8f2983_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte925102byte_5d9ca8cebc2286d70ef66f4f4a8f2983,sneakers
Arcteryx,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230202/a3574ee256344218b986b68034d406b7.png?x-oss-process=image/format,webp/resize,w_63,h_63",a3574ee256344218b986b68034d406b7,sneakers
ARMANI EXCHANGE,"https://cdn-img.thepoizon.ru/source-img/brand-img//4dd87da487184b28b397946aeccb2913-1000080.png?x-oss-process=image/format,webp/resize,w_63,h_63",4dd87da487184b28b397946aeccb2913-1000080,sneakers
Asics,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte3352byte_31e3a9553fef833c3004a84c4c016093_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte3352byte_31e3a9553fef833c3004a84c4c016093,sneakers
AUTRY,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/eee326bc4ce843be8a8c7a50b145b2d0.png?x-oss-process=image/format,webp/resize,w_63,h_63",eee326bc4ce843be8a8c7a50b145b2d0,sneakers
Axel Arigato,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230613/ce6d76baabcd4edcaaa256d4b209d130.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",ce6d76baabcd4edcaaa256d4b209d130,sneakers
