brand,logo_url,brand_id,category
acme de la vie,"https://cdn-img.thepoizon.ru/source-img/brand-img//98504b7f8c614077aecd7f483b588bab-10310.png?x-oss-process=image/format,webp/resize,w_63,h_63",98504b7f8c614077aecd7f483b588bab-10310,clothes
ADER ERROR,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/52298d59ba074151b068962b467773c7.png?x-oss-process=image/format,webp/resize,w_63,h_63",52298d59ba074151b068962b467773c7,clothes
Adidas,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte24108byte_fc70f4c88211e100fe6c29a6f4a46a96,clothes
Adidas Neo,"https://cdn-img.thepoizon.ru/source-img/brand-img//718b84ac5c7b4d7dac9ef34efe06ce9a-10139.png?x-oss-process=image/format,webp/resize,w_63,h_63",718b84ac5c7b4d7dac9ef34efe06ce9a-10139,clothes
adidas originals,"https://cdn-img.thepoizon.ru/node-common/f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174.png?x-oss-process=image/format,webp/resize,w_63,h_63",f1b8089c-a8ae-30eb-74fa-7e1d5df25519-174-174,clothes
Air Jordan,"https://cdn-img.thepoizon.ru/node-common/91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",91b2eec8-e614-e684-b913-ccf4abcb5d61-140-140,clothes
Alexander McQueen,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230113/11a0ea65be0d4838aef4fae7862456e5.png?x-oss-process=image/format,webp/resize,w_63,h_63",11a0ea65be0d4838aef4fae7862456e5,clothes
alexander wang,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230104/5256cfd2ff8746e3911828365596aac5.png?x-oss-process=image/format,webp/resize,w_63,h_63",5256cfd2ff8746e3911828365596aac5,clothes
Arcteryx,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230202/a3574ee256344218b986b68034d406b7.png?x-oss-process=image/format,webp/resize,w_63,h_63",a3574ee256344218b986b68034d406b7,clothes
Asics,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte3352byte_31e3a9553fef833c3004a84c4c016093_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte3352byte_31e3a9553fef833c3004a84c4c016093,clothes
Balenciaga,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/f9e4a90b36c74fe2ba1b89c5475d5ecb.png?x-oss-process=image/format,webp/resize,w_63,h_63",f9e4a90b36c74fe2ba1b89c5475d5ecb,clothes
BALLY,"https://cdn-img.thepoizon.ru/source-img/brand-img//6b8d64d8489a451683d566bf28e1552f-1000436.png?x-oss-process=image/format,webp/resize,w_63,h_63",6b8d64d8489a451683d566bf28e1552f-1000436,clothes
